ID,Category,Question,Includes
1,Pedagogy (General),What are the long-term impacts of adopting better teaching practices in computing classes?,
2,Pedagogy (General),What teaching practices are currently being used in computing classes?,
3,Awareness and Broader Impact,Do major news stories about technology and technology companies affect enrolments?,
4,Languages and Tools,What are the relative merits of using a typed vs untyped language in an introductory programming class?,140; 293
5,Awareness and Broader Impact,What are the long-term benefits (if any) of people learning to program as children?,111
6,Student Behavior,What kinds of problems do students in programming classes find most engaging?,68
7,Pedagogy (General),What is the most effective way to provide feedback to students in programming classes?,158; 267
9,Languages and Tools,What are the relative merits of using blocks-based tools vs textual tools for introductory programming classes?,16; 94; 102; 266; 281; 395
10,Languages and Tools,"What are the relative merits of using frameworks, pre-built code snippets, or skeletons in introductory programming classes?",133; 284
12,Curriculum,Are current high school curricula meeting the needs of college or university programs and/or employers?,
13,Pedagogy (Computing),What are the merits (if any) of using gamification in programming classes?,
14,Student Behavior,What is the impact of student procrastination on performance and outcomes in introductory programming classes?,
15,Curriculum,Is the common division of introductory courses into CS0/CS1/CS2 effective?,
17,Student Behavior,How and why do students in computing classes select the study practices they use?,
18,Inclusivity,How does programming language syntax affect accessibility for students with reading disorders?,344
19,Inclusivity,"How do attrition rates for different groups compare during computing programs, the transition to industry, and in professional careers?",
20,Languages and Tools,What technical difficulties do teachers and schools face when trying to get IDEs and other tools installed for students?,
23,Pedagogy (General),What are the relative merits of videos with live coding or interactive live coding textbooks in programming classes?,
24,Curriculum,Does teaching students specific algorithms help their understanding of algorithms and problem solving in general?,
25,Pipeline,Do incoming students have the mathematical understanding and skills required by undergraduate Computer Science programs?,
26,Curriculum,What competencies should people have with computers before starting to learn programming?,
27,Student Understanding,What should students in programming courses learn about computer architecture?,109
28,Curriculum,What core technical skills should students in computing courses learn?,
29,Inclusivity,What barriers to learning and retention do students from underrepresented groups face in computing?,
30,Assessment and Predictors,How can we measure the transfer of skills and understanding for our students from one course to another?,
31,Pedagogy (General),"What are the relative merits of instructor-led learning, exploratory learning (“Googling for it”) and peer discussion in programming courses?",31
32,Pedagogy (Computing),What are the relative merits of presenting tools all at once vs presenting subsets of tools in stages?,
33,Student Understanding,What are the key concepts that students need to understand in introductory computing classes?,
34,Curriculum,To what extent do results from Computing Education research studies generalize outside of the regions in which the studies are conducted?,
35,Languages and Tools,How well does the use of game-making programs in primary/secondary courses prepare students for college or university computing courses?,
36,Pipeline,What factors best predict how successfully students will make the transition from school to industry?,
40,Awareness and Broader Impact,"How well do students, parents, teachers, and schools understand the difference between programming and other digital technologies?",
41,Pedagogy (General),What teacher actions are most likely to encourage creative thinking in computing classes?,
42,Pedagogy (Computing),What are the most effective ways to teach programming to various groups?,59
43,Inclusivity,What influences girls’ decisions to take primary/secondary computing classes?,194; 264
44,Student Understanding,How do students acquire and develop program comprehension skills?,
45,Inclusivity,What are the most effective ways to develop computing competency among students in non-computing disciplines?,11; 64; 114; 249; 254; 345; 347; 353
46,Pipeline,"What are the relative effects on retention of first exposure to computing through maker spaces, coding clubs, etc. vs structured classroom contexts?",
47,Pedagogy (Computing),What are the relative merits of teaching higher-level courses on data structures and algorithms with and without practical labs?,
49,Student Understanding,What are students’ most common misconceptions about how programs operate?,
50,Teacher Development,"(How) can we make it easier for teachers to create, revise, share, evaluate, find and get credit for teaching materials?",
51,Inclusivity,(How) can we encourage people without formal Computer Science training or backgrounds to contribute to open source projects?,
52,Pipeline,What development practices used by professional programmers are most important to teach to students?,
53,Awareness and Broader Impact,(How) can learning programming concepts assist learning in other areas?,62; 120
54,Curriculum,What are the relative merits of teaching functional programming first vs teaching imperative programming first?,
55,Inclusivity,What are the proportions of computing students who identify as male vs those who identify as female?,
56,Curriculum,How do the content and teaching methods of informal computing education compare to those of formal computing education?,
57,Pipeline,How well does someone’s ability to pattern match correlate with their performance in their first programming course?,
58,Teacher Development,What pedagogic theories are used (explicitly or tacitly) by computing instructors?,
60,Pipeline,What factors best predict how successfully students will make the transition from school to industry?,
61,Curriculum,What effect does the use of unit testing in a first programming course have on students’ ability to build correct programs?,
63,Pipeline,What effect does participation in out-of-school coding camps and similar activities have on students’ attitudes toward in-school computing classes they subsequently encounter?,
66,Inclusivity,What are the most effective ways to teach introductory computing to students without prior programming knowledge?,
67,Pedagogy (General),(How) do formal curricular goals support the development of programming skills and computational thinking in students?,
