ID,Why_1,Why_2,Why_3,Why_4,Why_5,What_1,What_2,What_3,What_4,What_5,Question_1,Question_2,Question_3,Question_4,Question_5,Rater_1,Rater_2,Rater_Match,
1,"We test all 1st year students before they arrive so have the data, it may help direct a few. Or does it have no impact which raises other interesting questions about CAT testing","Should we be starting with Scratch? I'm amazed how quickly students pick it up, it seems great but will need to address the question of moving beyond it when we bring in the Senior cycle course",0,0,0,Feedback into a larger school project on CAT scores. Possibly use to help students choose a short course.,Use it to design our approach to Leaving Cert Computer science,0,0,0,Do CAT scores provide any prediction regarding which 1st year students are likely to do well in a short coding course?,How easy is it to transition from a visual language like Scratch to a text based language?,0,0,0,1,1,TRUE,
2,"Ws there something that happened at secondary school that got students interested, or was it a first year paper at university that drew students to taking computer science?","When developing questions and problems for students, it is just getting to know the concepts themselves, or does authentic contexts that get students engaged?",To support the changing nature of teaching and learning in secondary schools? Is the traditional way or the modern approach to teaching and learning supportive to developing good computer science programmes of teaching and learning?,"With the changes that are taking place in New Zealand, do the progress outcomes that have been developed support the computational thinking aspects of the new curriculum, and would something like this support new digital technologies curriculums overseas. What are the positives and negatives and how are teaching using these to provide students their next steps in teaching and learning. ",To see the effect of change if teh basics of computational thinking are taught at a young age and the difference if makes when students get older?,To see the impact of computer science courses in secondary schools.,When developing problems it is better to know which type of problems that we should be developing for students.,Provides opportunities for discussion about the New Zealand Curriculum and wetehr we should be combining learning areas to support the nature of learning in our schools. Considering one of the big pushed on the new digital technologies curriculum at present is integrated teaching and learning through multiple learning areas.,Thought it would make a good research question to see the effectiveness of how reporting could change.,Has an effect on how I teach my programme of teaching and learning at the senior school.,What draws students to taking computer science at University? ,"When developing computer programming problems, is it the skills or the authentic problem solving that students engage with?","When developing courses at secondary, is integrated or cross curricular links with other subject areas a good way to get students interested in programming rather than just being taught in a single SILO?",How do progress outcomes support students to develop better computer programs and computational thinking.,Does teaching students at primary school level computational thinking make a difference when they get to senior school?,2,2,TRUE,
3,"I want to understand how students make connections between their classroom and work experiences. The two worlds seem to be disconnected, and even though university classes should teach abstract and generalised knowledge, giving heuristics to connect this knowledge is also important. ",0,0,0,0,I would use it in my research on how people connect different fields (business and IT) and also use the heuristics to gauge my teaching methods.,0,0,0,0,How can a student connect computational thinking/programming they learn in the classroom with what they encounter in their workplace?,0,0,0,0,1,1,TRUE,
4,It pinpoints an important principle of CS,0,0,0,0,Problematize how in-serice courses for teachers are designed,0,0,0,0,How are teachers aware of the distiction between automation and efficiency?,0,0,0,0,1,0,FALSE,
5,To understand which languages best teach programming knowledge and skills.,To know the depth of understanding students need to know about these concepts.,To know if students who have dyslexia or similar still have the potential to be great programmers / developers ,To be able to foster creative thinking in my course.,If there is any major gaps in students understanding when leaving school.,Potentially modify teaching program to include languages which create best understanding.,Scaffold teaching of these concepts over the years of taking Programming education at school,Inform careers team at school and deans.,Include more creative thinking techniques in the course.,Modify course to fill gaps.,Does the programming language students learn at high school have any impact on the depth on which they understand programming concepts when going to university?,Does teaching specific algorithms (such as searching and sorting) help to build students understanding of problem solving and algorithms?,"Do students need good literacy skills to be able to have success at programming? (at school, uni and beyond)",What tasks encourage creative thinking in digital technologies?,What is the most common skill that students doing into further education are missing?,2,2,TRUE,
6,Have researched both educational taxonomies and computational thinking (Masters in Education) and still to reach a conclusion to the question above,"Primary students know ""Scratch"" and not much more",0,0,0,Depending on findings alter teaching methodology,Closer ties with primary and improve students computational thinking skills,0,0,0,Are the higher order thinking skills (blooms taxonomy) attainable for all students,At what age is it appropriate to introduce text based programming,0,0,0,2,2,TRUE,
7,Our school struggles to attract girls into digital computing and especially computer science,"i use App Lab but others use scratch or Alice. I think App Lab is easier to understand, but others disagree. Does it matter what you use?",its hard to know what is required outside of the NCEA bubble,0,0,see if will work at our school,Use a different language perhaps.,cover that topic better,0,0,How can we attract girls into computing?,which is the best language to learn for juniors?,Is there a hole in the students knowledge when they go to uni in NZ,0,0,2,2,TRUE,
8,"The motivation for registration may be indicative why students do not succeed in the courses.  If motivation is getting a job/money because of the industry and not because of passion for the field, it will influence success.","Students seem to be under the impression that learning programming is similar to learning any other subject, you study the theory to regurgitate it in the exam, with no ability to apply or show insight. Students also do not seem to understand the importance of completing practical exercises and questions.","Students seem to have a disconnect between the theory and the practical, they might know the theory, be able to apply it to a specific scenario, but as soon as the scenario changes they cannot apply the theory.","Most programmers at one point or another will be required to write a report or contribute to a user manual and thus need the skill set to verbalize the technical aspects of their programs in such a way that the layman can understand it.  Students are however reluctant to write an essay or reflect on what they have studied.  When requested to do such tasks they will provide a summary, but not be able to discuss.","Many academics, especially in the ODeL environment don't have educational experience and find it difficult to transfer knowledge to their students.  The educational specialists have a lot of educational theories they want academics to apply, but are unable to communicate HOW the academics should do this.  It leads to materials being provided to students that are possibly subject specific ""strong"", but educationally ""poor"".",Provide pre-registration guidance to make sure students register for the correct purpose.  Publish findings to contribute to the years old question as to why failure rates are so low.,Improve teaching and learning and publish findings.,Improve teaching and learning. Publish findings.,Improve teaching and learning. Publish findings.,Improve teaching and learning. Publish findings.,Why are students registering for a course/diploma/degree in programming?,Do students understand the amount of time required to learn programming?,"Why do some students think programming is just about coding, with no insight into the theory behind the practical?",Why do programming students think they do not need the skills to write/reflect on what they are studying?,"Most academics are subject matter experts with little to no educational experience.  The staff in the universities ""educational"" section who have to help academics develop their courses have little to know subject knowledge.  This creates a disconnect in teaching and learning, how can this be addressed to improve teaching programming modules?",2,2,TRUE,
9,I believe that this may help address the pipeline issue of low western enrollment.,The gender balance is a very prominent concerning issue at the moment,"Attrition rates in western CS1 are alarming, and in ireland, they are the lowest of all third level courses.","There is such a variety, we are using Python, but what literature is there to say that this is the most appropriate, in fact the literature can change time dependent.",0,Try and run out interventions to address this!,Try run interventions to address the root causes of this western issue.,Run early interventions in CS1 to try and help struggling students.,"Select an appropriate language for CS1, which may help with Q3",0,What do second level students really think about computer science?,Why do less girls pursue computer science courses?,Predicting students who fail or struggle in CS1,what is the most appropriate programming language to teach CS1,0,2,2,TRUE,
10,Because I think attendence is important and our classes have low attendance.,Because computer science students don't read enough,Because they don't seem to engage with assigned tasks,"To convince my colleagues to encourage (or even coerce) attendence, reading and activity completion ",To understand how to teach better,Hopefully increase attendance,Hopefully increase reading,Increase engagement,"Convince my colleagues to encourage (or even coerce) attendence, reading and activity completion ",Hopefully teach better.,How do I get university students to attend computer science classes?,How do I get university computer science students to read assigned readings? ,How do I get univesity computer science students to take in class activities and lab assignments seriously?,"To what extent does attendence, reading and engagement with activities predict course performance?",What features of classes / students / pedagogy / instruction moderate the relationship between attendence / reading / activity-engagement and course performance?,2,2,TRUE,
