id,category_id,content
1,1,"What are the long-term impacts of adopting better teaching practices in computing classes?"
2,1,"What teaching practices are currently being used in computing classes?"
3,2,"Do major news stories about technology and technology companies affect enrolments?"
4,3,"What are the relative merits of using a typed vs untyped language in an introductory programming class?"
5,2,"What are the long-term benefits (if any) of people learning to program as children?"
6,4,"What kinds of problems do students in programming classes find most engaging?"
7,1,"What is the most effective way to provide feedback to students in programming classes?"
9,3,"What are the relative merits of using blocks-based tools vs textual tools for introductory programming classes?"
10,3,"What are the relative merits of using frameworks, pre-built code snippets, or skeletons in introductory programming classes?"
12,5,"Are current high school curricula meeting the needs of college or university programs and/or employers?"
13,6,"What are the merits (if any) of using gamification in programming classes?"
14,4,"What is the impact of student procrastination on performance and outcomes in introductory programming classes?"
15,5,"Is the common division of introductory courses into CS0/CS1/CS2 effective?"
17,4,"How and why do students in computing classes select the study practices they use?"
18,7,"How does programming language syntax affect accessibility for students with reading disorders?"
19,7,"How do attrition rates for different groups compare during computing programs, the transition to industry, and in professional careers?"
20,3,"What technical difficulties do teachers and schools face when trying to get IDEs and other tools installed for students?"
23,1,"What are the relative merits of videos with live coding or interactive live coding textbooks in programming classes?"
24,5,"Does teaching students specific algorithms help their understanding of algorithms and problem solving in general?"
25,8,"Do incoming students have the mathematical understanding and skills required by undergraduate Computer Science programs?"
26,5,"What competencies should people have with computers before starting to learn programming?"
27,9,"What should students in programming courses learn about computer architecture?"
28,5,"What core technical skills should students in computing courses learn?"
29,7,"What barriers to learning and retention do students from underrepresented groups face in computing?"
30,10,"How can we measure the transfer of skills and understanding for our students from one course to another?"
31,1,"What are the relative merits of instructor-led learning, exploratory learning ('Googling for it') and peer discussion in programming courses?"
32,6,"What are the relative merits of presenting tools all at once vs presenting subsets of tools in stages?"
33,9,"What are the key concepts that students need to understand in introductory computing classes?"
34,5,"To what extent do results from Computing Education research studies generalize outside of the regions in which the studies are conducted?"
35,3,"How well does the use of game-making programs in primary/secondary courses prepare students for college or university computing courses?"
36,8,"What factors best predict how successfully students will make the transition from school to industry?"
40,2,"How well do students, parents, teachers, and schools understand the difference between programming and other digital technologies?"
41,1,"What teacher actions are most likely to encourage creative thinking in computing classes?"
42,6,"What are the most effective ways to teach programming to various groups?"
43,7,"What influences girls' decisions to take primary/secondary computing classes?"
44,9,"How do students acquire and develop program comprehension skills?"
45,7,"What are the most effective ways to develop computing competency among students in non-computing disciplines?"
46,8,"What are the relative effects on retention of first exposure to computing through maker spaces, coding clubs, etc. vs structured classroom contexts?"
47,6,"What are the relative merits of teaching higher-level courses on data structures and algorithms with and without practical labs?"
49,9,"What are students' most common misconceptions about how programs operate?"
50,11,"(How) can we make it easier for teachers to create, revise, share, evaluate, find and get credit for teaching materials?"
51,7,"(How) can we encourage people without formal Computer Science training or backgrounds to contribute to open source projects?"
52,8,"What development practices used by professional programmers are most important to teach to students?"
53,2,"(How) can learning programming concepts assist learning in other areas?"
54,5,"What are the relative merits of teaching functional programming first vs teaching imperative programming first?"
55,7,"What are the proportions of computing students who identify as male vs those who identify as female?"
56,5,"How do the content and teaching methods of informal computing education compare to those of formal computing education?"
57,8,"How well does someone's ability to pattern match correlate with their performance in their first programming course?"
58,11,"What pedagogic theories are used (explicitly or tacitly) by computing instructors?"
