id,stage,question_id,person_id,rank
81,1,192,167,important
82,1,171,167,vunimportant
83,1,191,167,vimportant
84,1,182,167,vimportant
85,1,41,167,vimportant
86,1,112,167,vimportant
87,1,60,167,important
88,1,99,167,important
89,1,168,167,important
90,1,80,167,indifferent
91,1,322,167,important
92,1,106,167,vimportant
93,1,104,167,indifferent
94,1,19,167,vimportant
95,1,209,167,vimportant
96,1,90,167,vimportant
97,1,316,167,indifferent
98,1,225,167,important
99,1,2,167,important
100,1,55,167,important
101,2,342,167,important
102,2,300,167,important
103,2,238,167,indifferent
104,2,71,167,unimportant
105,2,173,167,indifferent
106,2,17,167,important
107,2,144,167,indifferent
108,2,178,167,indifferent
109,2,399,167,important
110,2,229,167,indifferent
111,2,201,167,vimportant
112,2,164,167,vimportant
113,2,279,167,important
114,2,272,167,vimportant
115,2,310,167,important
116,2,341,167,vimportant
117,2,36,167,important
118,2,311,167,important
119,2,78,167,important
120,2,160,167,vimportant
121,1,233,27,important
122,1,302,27,important
123,1,70,27,indifferent
124,1,327,27,important
125,1,371,27,important
126,1,385,27,indifferent
127,1,351,27,vimportant
128,1,177,27,important
129,1,173,27,important
130,1,329,27,vimportant
131,1,103,27,important
132,1,292,27,important
133,1,235,27,vimportant
134,1,179,27,indifferent
135,1,295,27,vimportant
136,1,154,27,vimportant
137,1,317,27,vimportant
138,1,139,27,important
139,1,187,27,vimportant
140,1,131,27,important
141,2,324,27,important
142,2,32,27,indifferent
143,2,9,27,indifferent
144,2,99,27,indifferent
145,2,360,27,vimportant
146,2,42,27,important
147,2,288,27,important
148,2,67,27,important
149,2,152,27,vimportant
150,2,291,27,indifferent
151,2,314,27,indifferent
152,2,386,27,important
153,2,72,27,important
154,2,196,27,vimportant
155,2,13,27,indifferent
156,2,227,27,vimportant
157,2,29,27,vimportant
158,2,195,27,indifferent
159,2,73,27,indifferent
160,2,47,27,vimportant
161,1,292,34,
162,1,27,34,
163,1,132,34,
164,1,210,34,
165,1,131,34,
166,1,342,34,
167,1,400,34,
168,1,118,34,
169,1,105,34,
170,1,390,34,
171,1,66,34,
172,1,318,34,
173,1,137,34,
174,1,141,34,
175,1,302,34,
176,1,143,34,
177,1,233,34,
178,1,216,34,
179,1,272,34,
180,1,227,34,
181,2,52,34,
182,2,84,34,
183,2,88,34,
184,2,188,34,
185,2,229,34,
186,2,297,34,
187,2,101,34,
188,2,221,34,
189,2,33,34,
190,2,142,34,
191,2,47,34,
192,2,398,34,
193,2,50,34,
194,2,270,34,
195,2,150,34,
196,2,134,34,
197,2,316,34,
198,2,288,34,
199,2,326,34,
200,2,15,34,
201,1,139,158,
202,1,227,158,
203,1,230,158,
204,1,317,158,
205,1,88,158,
206,1,71,158,
207,1,340,158,
208,1,106,158,
209,1,26,158,
210,1,327,158,
211,1,148,158,
212,1,276,158,
213,1,69,158,
214,1,103,158,
215,1,210,158,
216,1,49,158,
217,1,359,158,
218,1,256,158,
219,1,390,158,
220,1,261,158,
221,2,46,158,
222,2,213,158,
223,2,228,158,
224,2,296,158,
225,2,45,158,
226,2,207,158,
227,2,43,158,
228,2,123,158,
229,2,318,158,
