ID,ParticipantID,QuestionID,Category (BB),Category (MC),Category (GW),Category (PD),Categories,UnifiedQuestion,RawQuestion,Why,What,
1,73,4,Pedagogy,Assessment,Assessment,Assessment,Pedagogy,What are the long-term impacts of adopting better teaching practices in computing classes?,What are the long term impacts of evidence-based teaching practices?,Most research have shown that active learning and other evidence-based practices improve students' outcomes at the end of a course but we don't know if these changes have any long term benefit to students,Advocate for teaching practices that have lasting impact,
2,78,3,Curriculum,,Curriculum,Pedagogy,Pedagogy,What teaching practices are currently being used in computing classes?,How programming is being implemented in schools?,"It would good to conduct empirical, diagnostic studies by which national overviews with regional differences are possible.",Inform curriculum design  and implementation in schools,
3,47,5,Awareness,Broader Social Context,Awareness,Pipeline,Perception of Computing,Do major news stories about technology and technology companies affect enrolments?,Do major news stories about technology companies affect enrollments?,"We live in an era where tech news can often dominate a news cycle. But as instructors, we often are focusing on material instead of current events.","If there is a connection between the two, seek to involve more discussion of current events into my courses.",
4,47,1,Pedagogy,Pedagogy,Languages and Tools,Languages and Tools,Languages and Tools,What are the relative merits of using a typed vs untyped language in an introductory programming class?,"For a first programming course, does it make a difference if it is a strongly typed language or not?","Many intro courses were using Java, now many are using Python. Having taught the *second* programming course (which was typed), I noticed significant differences in areas of student struggle.",Argue that the introductory language should/should not be typed.,
5,38,1,Broader Social Context,Broader Social Context,Broader Social Context,Inclusivity,Broader Impact,What are the long-term benefits (if any) of people learning to program as children?,Do children really need to learn how to program?,"I think that Most importantly, it may not be in codes, but in human skills that machines can not replicate, such as empathy and problem solving",I will apply in practice,
6,14,5,Engagement,Engagement,Curriculum,Pedagogy,Engagement,What kinds of problems do students in programming classes find most engaging?,"What are some engaging problems in programming. In mathematics there are ""low threshold, high ceiling"" problems that offer to a more diverse range of students ",So to engage a diverse range of learners,Use it in the classroom,
7,82,1,Pedagogy,Pedagogy,Pedagogy,Assessment,Pedagogy,What is the most effective way to provide feedback to students in programming classes?,How to provide relevant learning feedback to students?,"Although there are several studies on improving error messages and provision of hinting mechanisms, do such mechanisms provide proper feedback? By proper, I mean feedback that would foster learning, which is not exactly detailing the error or to provide a solution, but to pave a way for learning/achieving the desirable learning outcome.","Considering the relationship of feedback and learning outcomes, I would use choose feedback mechanisms considering the results of learning/assessment activities that could provide a suitable means to achieve the learning outcomes.",
8,108,2,Inclusivity,Inclusivity,Inclusivity,Pedagogy,Engagement,(How) can we adapt course content to students based on their prior experience so that they are challenged but not discouraged?,How can we adapt the course content to students based on their experiences so that the difficulty level and learning experience is balanced?,It would improve the accessibility of the course content and reach more students in the best way,Try to implement it in my courses,
9,94,1,Languages and Tools,Pedagogy,Languages and Tools,Languages and Tools,Languages and Tools,What are the relative merits of using drag-and-drop/blocks-based tools vs textual tools for introductory programming classes?,"In your opinion does teaching programming using drag and drop or graphical GUIs contribute to good versus bad habits, advance or retard understanding of concepts or have any significant overall impact on longterm reduced learning progress ?",How education is taught shapes future standards and by implication future research,Alter my teaching methods or introduce alternative methods,
10,42,2,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Languages and Tools,"What are the relative merits of using frameworks, pre-built code snippets, or skeletons in introductory programming classes?",Is there evidence supporting the use of prebuilt code snippets in developing early understanding of computing concepts?,To know if there are proven better ways to introduce concepts in programming,Will help structure how I teach,
11,39,4,Curriculum,Curriculum,Curriculum,Curriculum,Curriculum, Pedagogy,(How) should computing classes for students in data science or other STEM disciplines differ from those for students in a computer science program?,What are the core concepts for a Masters of Data Science? For an Introductory Data Science course? How do these differ from a Masters in CS or an introductory CS course (respectively).,I want to eventually build a concept inventory for different levels of data science (as well as validate it).,A validated concept inventory would be a useful assessment tool to assess student learning performance.
12,34,4,Pipeline,Pipeline,Pipeline,Pipeline,Curriculum, Pipeline,Are current high school curricula meeting the needs of post-secondary programs and/or employers?,Is the current Ontario CS curriculum meeting the needs of post secondary programs and employers?,Should we push for some changes since the last revision was in 2008?,Lobby the government.
13,82,4,Pedagogy,Pedagogy,Pedagogy,Engagement,Pedagogy,What are the relative merits of using gamification in programming classes?,Is gamification effective?,"There are many gamification mechanisms available, but which one is more effective for learning?",Gamification could improve the motivation and the outcomes of learning activities. I would implement gamification for assessment activities regarding programming.,
14,78,4,Student Behavior,Student Behavior,Student Behavior,Student Behavior,Student Behavior,What is the impact of student procrastination on performance and outcomes in introductory programming classes?,What is the impact of procrastination and other related attributes on introductory study on programming?,"Media environment has changed by the years. For this (and many other) reason, it would be interesting to know how much students suffer from procrastination and lack of concentration.",Advance basic research and inform pedagogies/didactics of programming education.,
15,82,5,Curriculum,Curriculum,Curriculum,Curriculum,Curriculum,Is the common division of introductory courses into CS0/CS1/CS2 effective?,"Why do we have CS0, CS1 and CS2 courses?","Most computing programs have several courses on programming. However, learning algorithms and data structures within self-contained courses hinders the application of learning outcomes into actual problems. There are some initiatives on teaching such matter on a data science context, but that is still not widespread.","Design a curriculum without such courses, but with integrated projects, either in the Computing or in the humanitarian context (similar to Humanitarian FOSS Project), that requires learning such concepts and skills on Computing.",
16,29,2,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,What are the relative merits of using drag-and-drop/blocks-based tools vs textual tools for introductory programming classes?,Do graphical languages (scratch/code.org) really provide a better basis for computational understanding or just draw interest from a younger age?,Whether the use of these tools at the high school level is productive,Impacts timing of when and how quickly we should be pushing into more formal and traditional programming languages.,
17,9,4,Awareness,Awareness,Student Behavior,Student Behavior,Perception of Computing,How and why do students in computing classes select the study practices they use?,Why do programming students think they do not need the skills to write/reflect on what they are studying?,"Most programmers at one point or another will be required to write a report or contribute to a user manual and thus need the skill set to verbalize the technical aspects of their programs in such a way that the layman can understand it.  Students are however reluctant to write an essay or reflect on what they have studied.  When requested to do such tasks they will provide a summary, but not be able to discuss.",Improve teaching and learning. Publish findings.,
18,107,1,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,How does programming language syntax affect accessibility for students with reading disorders?,"How does programming language syntax (e.g. brackets, splitting commands across lines) affect accessibility for students with dyslexia","There is no perfect programming language for GCSE Computer Science, but I'd like to use the one which is most accessible to students",Re-evaluate the language I use to teach GCSE Computer Science,
19,52,4,Pipeline,Pipeline,Inclusivity,Inclusivity,Inclusivity,"How do attrition rates for different groups compare during computing programs, the transition to industry, and in professional careers?","As engineers transition from education to industry, how do attrition rates compare between different populations (women, non-binary, people of color, underrepresented minorities, non-native english speakers, people with disabilities, people from disadvantaged backgrounds, etc)? Who's making it to year 2 or 3, or to their first promotion, and who isn't?","A lot of academic research on education focuses on the classroom, not on what happens after, but that's the real measure of success! I do not know if there's a substantial difference in attrition once people are in the door.",Recognize that there is (or is not) a problem.,
20,107,3,Professional Development,Professional Development,Languages and Tools,Languages and Tools,Languages and Tools,What technical difficulties do teachers and schools face when trying to get IDEs and other tools installed for students?,What technical difficulties to teachers/schools face when trying to get IDEs/tools installed for students?,There seem to be a huge range of difficulties faced by different teachers and schools,Try to develop applications/tools which get around these technical difficulties,
21,11,1,Student Behavior,Student Behavior,Student Behavior,Engagement,Student Behavior,How can we motivate students in computing programs to attend classes?,How do I get university students to attend computer science classes?,Because I think attendence is important and our classes have low attendance.,Hopefully increase attendance,
22,17,5,Professional Development,Professional Development,Professional Development,Professional Development,Teacher Development,How should we train faculty in modern software development practices so that they can teach them in the classroom?,How do you train faculty in agile practices for deployment in the classroom?,"We require pair programming in CS1, but it's pretty clear that a lot of faculty who teach the course---and have taught it for years---don't really understand pair programming. ",Professional development for instructors.,
23,105,5,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,What are the relative merits of videos with live coding or interactive live coding textbooks in programming classes?,Are videos with live coding or interactive live coding textbooks more successful teaching methods. ,"I have taken courses with interactive textbooks and with videos. I learn best through video examples, but I am interested if there is a general trend. ",Implement more of the preferred learning style into computing courses.,
24,6,2,Curriculum,Curriculum,Curriculum,Mental Models,Curriculum,Does teaching students specific algorithms help their understanding of algorithms and problem solving in general?,Does teaching specific algorithms (such as searching and sorting) help to build students understanding of problem solving and algorithms?,To know the depth of understanding students need to know about these concepts.,Scaffold teaching of these concepts over the years of taking Programming education at school,
25,99,3,Pipeline,Pipeline,Pipeline,Pipeline,Pipeline,Do incoming students have the mathematical understanding and skills required by undergraduate Computer Science programs?,Are undergrad CS programs satisfied with the math abilities of incoming freshmen?,"I have anecdotal info from talking with CS Professors that the answer is ""no"".   Some specifics they would like to see are formal proof experience, in particular into developing proof-of-correctness/completeness analyses for algorithms, such as would be learned in 9-12 Discrete Math + CT , Algorithmic Geometry, and Computational Statistics","Work with colleagues who are pioneers in Math + CT courseware to expand study opportunities, including 9-12 college-prep CS majors.",
26,93,4,Curriculum,Curriculum,Curriculum,Curriculum,Curriculum,What competencies should people have with computers before starting to learn programming?,What are the essential core competencies about computing (computers) that should be acquired before starting to learn programming?,"There are many abstraction layers - many students are rushed to learn coding practices before understanding fundamentals of how a computer works, consequently have to unlearn misconceptions down the road.",Develop better prerequisites and supporting documentation for scientific computing courses. (especially introductory),
27,13,5,Mental Models,Mental Models,Mental Models,Curriculum,Student Understanding,What should students in programming courses learn about how hardware executes instructions?,Is there a better alternative conception to replace the fetch-decode-execute cycle?,"It's vital that students understand that CPUs are electronic machines, moving and manipulating numbers.  However, this model as it is taught at GCSE and A-Level is hopelessly out of date.  There might be a better alternative model which embeds the concepts without forcing students to simply learn magic phrases.",Change how I teach about the CPU.,
28,45,3,Curriculum,Curriculum,Languages and Tools,Curriculum,Curriculum,What core technical skills should students in computing courses learn?,What do you think is the most important computing/digital technology skill to be learnt at the time of answering this questionnaire?,It will give me some more background on what skills my learners see as important and also what they are wanting to learn from me,Modify my teaching program at the very least and certainly make it more individually tailored,
29,54,1,Pipeline,Inclusivity,Inclusivity,Inclusivity,Inclusivity,What barriers to learning and retention do students from underrepresented groups face in computing?,"What are the barriers to students, particularly students from underrepresented backgrounds, to learning and staying with computer science?","While our intro courses are becoming more and more diverse, I fear that retention will be the long-term problem. It's no secret that computer science is a hot area to study now, and there's a strong external push for many students who might not have otherwise thought about taking a CS course to now take one, but we've seen that factors like belonging, self-efficacy, and socio-psychological factors like stereotype threat have a critical effect on student success and retention.","Motivate pedagogical practices, curriculum design, and interventions for students. Design new learning environments that optimize for best practices.",
30,59,1,Pipeline,Poor Question,Assessment,Assessment,Assessment, Student Understanding,How can we measure the transfer of skills and understanding for our students from one course to another?,How to best assess student's disposition to transfer skills from one course to another,Disposition is hard to assess. Failed transfer of skills between courses/learning experiences leads to ineffective learning and missed program outcomes.  Identifying that we are teaching a transferrable competency is the #1 interest of employers.,Adjust my course and program outcomes & delivery to focus on developing disposition to transfer. Focus coursework/learning experiences on those transferrable competencies worth transferring from course-to-course
31,87,3,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,"What are the relative merits of instructor-led learning, exploratory learning (“Googling for it”) and peer discussion in programming courses?",Does social constructivism make sense for teaching computing? ,"In an era of Google, the ""professor"" no longer stands as a source of truth. I want to know whether I should be encouraging discussion and letting students teach each other, or is it more effective to embrace online and have them discover ""truth"" through independent study.","I teach some subjects in an old-fashioned way and others in an interactive experiential and experimental way. My gut tells me that while the experiential methods are more fun, they're less effective. The answer will help me decide whether the differences are in the method or in my ability to deliver using the method.",
32,16,3,Poor Question,Poor Question,Languages and Tools,Languages and Tools,Pedagogy,What are the relative merits of presenting tools all at once vs presenting subsets of tools in stages?,An adaptative interface for teachers in Scratch could help to prepare activities to reduce cognitive overload?,"Cognitive overload is a well known problem in learning programming. In Scratch, there is many blocks and possibilities. In my experience, it could be a problem if  you set exploratory activity to a student when he is in the beggining of learning. I want to know if an adaptative interface for teacher - that is, an interface  where teacher could set how blocks and functionalities student could explore - help to prepare activities in a way to reduce that cognitive overload.",Prepare better activities for my students.,
33,107,2,Pedagogy,Curriculum,Mental Models,Poor Question,Student Understanding,What are the key concepts that students need to understand in introductory computing classes?,Is 'expression' a threshold concept?,"Professional API references include the term 'expression' a lot.  It seems to be absent from GCSE specifications, but I suspect it is the key to understanding execution of nested commands/operators",Adapt the scheme of work to explicitly include 'expression' as a concept as early as possible.,
34,64,3,Predictors,Predictors,Inclusivity,Predictors,Curriculum,To what extent do results from Computing Education research studies generalise outside of the regions in which the studies are conducted?,Are there any regional differences in which subjects are associated with success in tertiary Computer Science?,A lot of the Computer Science education research is based on North American data. It would be interesting to find out if these results generalize to other regions of the world.,This will help influence how much weight to place on results from outside my region.,
35,18,3,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools, Pipeline,How well does the use of game-making programs in K-12 courses prepare students for college-level computing courses?,is game maker something that will set the kids up for university or college,some teachers use game maker to draw students to the course but is it useful,set my course one way or the other
36,52,5,Pipeline,Pipeline,Pipeline,Predictors,Pipeline,What factors best predict how successfully students will make the transition from school to industry?,"Within a given population (accounting for identity features like race, gender or language), what is it that makes for a successful transition from education into industry? In other words, what sets a new engineer up to become an old engineer? Interested in facets of the students and of the institutions where they study.",It's basically asking what can we do right now to set our graduates up for life success,set our graduates up for life success,
37,30,1,Poor Question,Poor Question,Poor Question,Poor Question,DISCARD,DISCARD,How come we don't learn about time and space when learning about computing. ,Computing is abstracted (mentally) from normal existence/thinking.  This is the root cause of learning difficulty,"This should lead to the next question, both for individuals and researchers.",
38,64,1,Predictors,Predictors,Assessment,Predictors,Assessment,How well do grades in K-12 math classes correlate with performance in college-level computing courses?,Is there more current that indicates how high school Math scores are associated with performance in tertiary Computer Science courses?,My department relaxed its entry requirements to not require passes in A-Level Mathematics.,This can influence my department's entrance requirements.,
39,21,2,Engagement,Engagement,Student Behavior,Engagement,Pedagogy, Student Behavior,What teacher actions are most likely to keep students engaged in class?,How can I keep the students engaged in class?,Some topics in CS can be dry and it's difficult to keep students engaged and interested.,Attempt to apply the suggestions to my own teaching methods.
40,46,3,Awareness,Awareness,Awareness,Curriculum,Perception of Computing,"How well do students, parents, teachers, and schools understand the difference between programming and other digital technologies?","Do schools, students and teachers know the difference between ICT and Digital Technologies",I always hear the terms used to mean the same thing. I think it is important for schools/teachers/students to know the difference,the Core ED infographic has helped start the conversation with my SLT ,
41,6,4,Pedagogy,Pedagogy,Curriculum,Engagement,Pedagogy,What teacher actions are most likely to encourage creative thinking in computing classes?,What tasks encourage creative thinking in digital technologies?,To be able to foster creative thinking in my course.,Include more creative thinking techniques in the course.,
42,78,1,Predictors,Pedagogy,Poor Question,Pedagogy,Pedagogy,What are the most effective ways to teach programming to various groups?,How programming should be taught?,"Often time introductory programming proceeds bottom up, but I would like to know if holistic, top-down, approach would benefit to students to get a good overall picture of programming.",Inform understanding of programming education,
43,53,1,Inclusivity,Inclusivity,Inclusivity,Awareness,Inclusivity,What influences girls’ decisions to take K-12 computing classes?,What influences girls' decisions to take Digital Technologies at senior school?,We have a big drop off in senior classes. Are stereotypes still operating?,"work out how to promote to students, parents.",
44,24,3,Pedagogy,Pedagogy,Mental Models,Assessment,Student Understanding,How do students acquire and develop program comprehension skills?,How do students learn and develop their program comprehension skills?,I find students' greatest weakness is often their ability to understand and describe code written by someone else.,Provide students with more opportunities to develop their comprehension skills.,
45,59,2,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity, Pedagogy,What are the most effective ways to develop computing competency among students in non-computing disciplines?,"Is there a way to develop computing competencies for non-self-selected students, (e.g., writing students)","Need to expand the diversity of computing majors beyond the audience of self-selected Math-Science (STEM) students. Demonstrate, leverage and extend the connections between computing foundations to non-STEM disciplines (e.g., writing, literature, business)  ",Develop a program that will allow non-traditional students an entry-path into computing 
46,33,1,Pedagogy,Languages and Tools,Predictors,Predictors,Pipeline,"What are the relative effects on retention of first exposure to computing through free-range contexts (maker spaces, coding clubs, etc.) vs structured classroom contexts?","Comparing students whose first exposure to programming is in a ""makerspace"" unstructured environment to those who learn through lecture and projects: how is retention for each group (continuing with more advanced courses)? how is performance in later courses and college?","We want to establish a path for 5-12 students. Currently some MS kids learn in a makerspace, while some HS kids learn in a traditional classroom. ","Possibly change the HS intro CS to be more open and experimental, possibly add a course with more rigor in the MS",
47,55,3,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,What are the relative merits of teaching higher-level courses on data structures and algorithms with and without practical labs?,is it better to teach higher level courses (data structures/algorithms/etc) with or without labs?,"I prefer a more applied/coding heavy approach, but I don't know if it would be better for my student. ",shift how I teach the material ,
48,97,2,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Which aspects of computing can be learned effectively via automated instruction and which require interaction with a human teacher?,"What aspects of learning needs to be ""hands-on"" with the teacher (and therefore can't easily scale) versus done by a computer?","This is a very broad question and hard to answer. But once we know the answer for a specific kind of ""hands-on"" learning (lecturing, one-on-one interactions, etc.) it'll be inform what I should and should delegate to automation",It would inform what I should spin off to automation and what I shouldn't.,
49,81,2,Mental Models,Mental Models,Mental Models,Mental Models,Student Understanding,What are students’ most common misconceptions about how programs operate?,"What are the most common student mental misconceptions disrupting students' notational machines, and what teaching methods and course design decisions can be used to get over them?","Expert instructors develop a mental collection of common student misconceptions and how to get learners past them, especially as they teach the same curriculum over again. It seems like we need to stop leaving this in people's heads and start sharing it, so we can make progress on improving curriculum.","With a solid collection of misconceptions, not only can I teach more effectively, but I can prepare tools and materials to help other teachers more effectively.",
50,81,4,Professional Development,Curriculum,Professional Development,Curriculum,Teacher Development,"(How) can we make it easier for teachers to create, revise, share, evaluate, find and get credit for teaching materials?","How can we make it easier to create, revise, share, evaluate, find, and take credit for curricular materials in the CS Ed community?","Instructors are often designing new curricula and trying new things, without results being meangingfully reported back to the field. Efforts like Nifty Assignments and the Canterbury Question Bank are positive efforts in encouraging reuse and meaningful capturing of instructor content, but it is still on a limited scale. It seems like there are a number of natural barriers discouraging instructors from disseminating their materials - if we want to stop reinventing the wheel, we need to remove these barriers.","The amount of time I dedicate to building redundant ""new"" materials would drop considerable. I could focus more on research and developing actually new materials, or revising existing materials.",
51,86,4,Inclusivity,Inclusivity,Broader Social Context,Inclusivity,Inclusivity,(How) can we encourage people without formal computer science training or backgrounds to contribute to open source projects?,"How can we encourage people outside of the ""traditional"" compsci background to contribute to FOSS projects, and make it a welcoming space for them to do so?",Because everyone who can be a user should be able to be involved in building software,Guide people to contribute,
52,63,1,Poor Question,Pipeline,Poor Question,Student Behavior,Pipeline,What development practices used by professional programmers are most important to teach to students?,What are the fundamental processes and practices of successful software developers?,Key to working as a software developer,Train adult career-switchers to do software development,
53,89,1,Pedagogy,Broader Social Context,Predictors,Assessment,Broader Impact,(How) can learning programming concepts assist learning in other areas?,How can learning programming concepts assist learning in other areas,Cross Curricula application of general learning,Unsure,
54,102,2,Pedagogy,Pedagogy,Pedagogy,Curriculum,Curriculum,What are the relative merits of teaching functional programming first vs teaching imperative programming first?,What are the benefits and drawbacks of teaching functional programming first (before imperative programming)?,"FP enables students to draw on their arithmetic background, deal with fewer concepts, and start from a more level playing field(?) than imperative-first. But perhaps it is too abstract to engage students?",Take it into account when doing the next major re-design of our core curriculum.,
55,62,1,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,What are the proportions of computing students who identify as male vs those who identify as female?,What is the ratio of female identified vs male identified registration?  ,What is the gender imbalance.,Look for ways to improve female confidence in STEM.  (eg getting more funding to support  female centered computer clubs),
56,16,1,Broader Social Context,Pedagogy,Broader Social Context,Broader Social Context,Curriculum, Pedagogy,How do the content and teaching methods of informal computing education compare to those of formal computing education?,How could non-formal computing education be caracterized?,I teach computing in non-formal settings. I want to understand what factors and characteristics are underlying these contexts. ,Improve my practice.
57,66,1,Predictors,Predictors,Predictors,Predictors,Pipeline,How well does someone’s ability to pattern match correlate with their performance in their first programming course?,Does someone's ability to pattern match predict how well someone will do in their first programming course if they've never programmed before?,I think it would be a helpful research result for preparing students for programming. ,"If true, we could strengthen people's pattern matching skills before they enter into a programming course.",
58,114,1,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,What pedagogic theories are used (explicitly or tacitly) by computing instructors?,"How, theoretically, is Computer Science constructed in a pedagogic sense?","I want a strong, cohesive theory that I can fit my teaching into.  That way, I can have a better understanding of how to construct sensible curricula, how to assess, and so on.  Right now, there is far too much trial-and-error and guesswork involved.","I'll use it to identify gaps in teaching, to improve my teaching, to compare curricula, and to frame teaching practices from other disciplines.",
59,84,2,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,What are the most effective ways to teach programming to various groups?,What learning and teaching approaches work best in computing education?,,,
60,114,3,Curriculum,Curriculum,Pipeline,Curriculum,Pipeline,What factors best predict how successfully students will make the transition from school to industry?,What undergraduate curriculum will give students the best chance in a rapidly-changing world?,"Students need to learn how to learn CS, so we introduce them to some practical stuff (such as concrete languages) and some fundamental stuff (such as Big-O notation).  But what is really fundamental in the field?  What knowledge will they be able to leverage year after year, no matter where they end up in CS?  Where I am, the undergraduate curriculum is jam-packed.  But is it full of the RIGHT things?",Figure out how to construct curricula at the macro level.,
61,102,4,Pedagogy,Pedagogy,Curriculum,Curriculum,Curriculum,What effect does the use of unit testing in a first programming course have on students’ ability to build correct programs?,Can instructors use unit testing effectively in a first course to help students build more correct programs sooner.,"Like types, unit testing adds extra concepts for students to master, but encourage students to think more carefully about what they expect their code to do.","Perhaps introduce unit testing earlier in the curriculum, perhaps even in CS 1.",
62,92,3,Poor Question,Broader Social Context,Student Behavior,Poor Question,Broader Impact,(How) can learning programming concepts assist learning in other areas?,Can programming help improve any of the key skills?,"Key skills are embedded in the new Junior Cycle curriculum, e.g, working with others, creativity etc. I'd like to see how coding could be introduced into a maths class to further embed some of these key skills.",Look at ways of using coding more in a maths class (not just in coding class) - how can it help my students visualise their maths?,
63,68,1,Pipeline,Pipeline,Predictors,Pipeline,Pipeline,What effect does participation in out-of-school coding camps and similar activities have on students’ attitudes toward in-school computing classes they subsequently encounter?,"There has been a strong push to teach younger kids programming through camps, clubs, online resources, and in some schools.  What is the impact on the attitudes of those learners as they grow into high school level, where the course options are still at a base level?","I have some concerns that students who have seen some code elements earlier find their high school years boring, and arethus turned off.  In other words, they 'peaked' too young in their interest.","This feedback can help inform local curriculum delivery, dialogue with feeder schools, etc.",
